Filename-->;PUNTA_LILA.RFL8;PUNTA_LILA_2.RFL8;PUNTA_LILA_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
441,956;6,073402163;9,448645178;6,380390863
442,540;6,034961985;9,451107638;6,299403307
443,123;6,056286479;9,474804813;6,335600214
443,707;6,039515158;9,511461533;6,326228756
444,290;6,144274177;9,440806667;6,350904754
444,874;6,147436908;9,569110479;6,319159409
445,457;6,080202041;9,568634885;6,27625184
446,040;6,10242718;9,581717061;6,348777242
446,624;6,02292514;9,560771256;6,255197456
447,207;5,95265661;9,584722437;6,185050175
447,790;5,941104728;9,600013166;6,159451637
448,374;5,884394193;9,498163089;6,178122965
448,957;6,006366137;9,56039012;6,213226725
449,540;5,931968873;9,492334563;6,150419615
450,123;5,848052507;9,337745385;6,035655412
450,706;5,928056051;9,386584211;6,087791019
451,289;5,947950618;9,376962334;5,995673509
451,872;5,844839959;9,250070451;5,925242517
452,455;5,852283413;9,172491306;5,856702846
453,038;5,803803008;9,014933238;5,957230113
453,621;5,81648537;9,020779148;5,879463452
454,204;5,729086102;8,934547167;5,791130627
454,787;5,713214699;9,091309369;5,736167197
455,369;5,695049138;9,066476689;5,81504653
455,952;5,667709482;8,978837639;5,812302384
456,535;5,616689603;8,843212105;5,908972669
457,117;5,631683872;8,827468134;5,957414262
457,700;5,559381142;8,815116324;6,075127192
458,283;5,556430192;8,957773977;6,038770343
458,865;5,492345272;8,83830377;6,075840695
459,448;5,483858969;8,852905952;6,060675688
460,030;5,493699477;8,697560383;6,125880091
460,613;5,461986666;8,659322957;6,036124962
461,195;5,424598656;8,618270439;5,991129185
461,777;5,409367219;8,64089647;5,887891808
462,360;5,422750341;8,621060956;5,841604811
462,942;5,374582443;8,5650263;5,677875353
463,524;5,398260351;8,415419583;5,609700913
464,107;5,368690942;8,405510069;5,514853846
464,689;5,325122012;8,401392028;5,477599619
465,271;5,295906471;8,424772325;5,332229851
465,853;5,331716833;8,409815332;5,337522962
466,435;5,332620066;8,376190101;5,255161387
467,017;5,279239102;8,386943393;5,205287488
467,599;5,244631948;8,368672251;5,254992783
468,181;5,307693129;8,359157354;5,293835135
468,763;5,338399694;8,319841345;5,302263744
469,345;5,331193712;8,264436612;5,300497315
469,927;5,315667452;8,162455479;5,303962052
470,508;5,273771028;8,144556983;5,372318849
471,090;5,263513576;8,177622756;5,396765551
471,672;5,230038469;8,194979939;5,448304308
472,254;5,202732301;8,156477043;5,430234085
472,835;5,199751051;8,015278682;5,32841249
473,417;5,166372006;8,014509547;5,276504836
473,998;5,068832385;8,007455865;5,272215301
474,580;5,048656153;8,075801446;5,272617802
475,161;5,0185653;8,040663095;5,218027531
475,743;5,009980334;7,971353034;5,164583671
476,324;4,958837042;7,880693088;5,070363556
476,906;4,921906913;7,860998755;5,023072114
477,487;4,893469155;7,767977812;5,033810663
478,068;4,85930407;7,795179445;4,991515682
478,650;4,814422135;7,74496182;4,970739445
479,231;4,793011073;7,724896932;4,93386006
479,812;4,763914607;7,577273754;4,863999652
480,393;4,812380069;7,510243491;4,850958609
480,974;4,773035199;7,451573683;4,769787505
481,555;4,727463291;7,355233818;4,70126621
482,136;4,705597763;7,284733245;4,703951129
482,717;4,684577462;7,251657621;4,663314717
483,298;4,684165955;7,170306249;4,629583798
483,879;4,657848344;7,054675377;4,566813818
484,460;4,616145859;6,973322027;4,507946342
485,041;4,600098179;7,003874262;4,515029119
485,622;4,493298079;6,974498697;4,479978857
486,203;4,448300025;6,891259986;4,488947852
486,783;4,417575628;6,86789243;4,547597929
487,364;4,36163614;6,875009076;4,48040167
487,945;4,310573396;6,815696665;4,455663132
488,525;4,264325267;6,816533857;4,482146444
489,106;4,197940637;6,789139678;4,481996912
489,686;4,150184505;6,710181315;4,398981225
490,267;4,090017054;6,60407743;4,35113516
490,847;4,045154925;6,618907817;4,282341766
491,428;4,057322977;6,632387152;4,23761233
492,008;4,057980217;6,63343586;4,173139296
492,589;3,999912314;6,483461331;4,128276895
493,169;4,031592296;6,493772642;4,053496638
493,749;3,973349601;6,453989718;3,990130794
494,329;3,940258747;6,38234109;3,917918916
494,910;3,948240897;6,432289223;3,942031136
495,490;3,923559682;6,415382382;3,918400835
496,070;3,914345135;6,248345386;3,939410882
496,650;3,823864033;6,130897255;3,921182794
497,230;3,782480975;6,062706557;3,920690447
497,810;3,813166675;6,029938777;3,88628344
498,390;3,771521607;5,948639045;3,867967425
498,970;3,713150789;5,865201388;3,794442154
499,550;3,712973266;5,83909838;3,801494588
500,130;3,675795047;5,678544338;3,724864658
500,709;3,678646164;5,63658953;3,699615346
501,289;3,577829215;5,64160652;3,600531974
501,869;3,609124923;5,605803299;3,574467945
502,449;3,510353379;5,466912064;3,437730749
503,028;3,44306241;5,377753412;3,392350928
503,608;3,371301272;5,264402134;3,30816016
504,188;3,356000206;5,29714095;3,284650093
504,767;3,266708694;5,255467961;3,237182449
505,347;3,216676197;5,263345085;3,226499587
505,926;3,131054834;5,1586761;3,087121232
506,505;3,149663146;5,148177324;3,074333672
507,085;3,046864014;5,120550078;2,971228151
507,664;3,034170972;5,181023232;3,033443444
508,243;3,011672449;5,090497097;3,000491712
508,823;2,911869975;5,049204998;2,948872503
509,402;2,892019694;4,954209644;2,916434403
509,981;2,913807352;4,934128422;2,92359451
510,560;2,851637054;4,83429854;2,832184324
511,139;2,839498726;4,850391828;2,887087008
511,719;2,746188382;4,729255466;2,837155895
512,298;2,719896051;4,652009116;2,847596541
512,877;2,671207448;4,513226443;2,738704837
513,456;2,627523767;4,543194268;2,73270759
514,034;2,660475538;4,49375914;2,763331715
514,613;2,631425349;4,411233663;2,794891744
