Filename-->;FLOR_CERRADA_.2RFL8.RFL8;FLOR_CERRADA_.RFL8;FLOR_CERRADA_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
268,239;17,17058609;30,83681274;-20,94064939
268,833;10,27180957;30,13762742;-6,415929558
269,427;-11,55778785;28,01565861;-19,81783758
270,021;10,8618663;14,92277119;-19,42148835
270,614;16,97761174;18,64885613;-7,742536851
271,208;22,92387517;19,11447107;-2,897924102
271,802;23,87690868;15,92568167;-17,87960465
272,396;15,61477262;15,7917685;-19,23796114
272,989;20,80679317;16,67438672;-1,401273924
273,583;13,98713871;25,58532494;4,019292793
274,177;15,01802109;30,34531618;-0,700840916
274,770;15,42821065;35,07972718;5,268681949
275,364;18,40621974;42,15616901;5,617103785
275,957;12,7920173;46,31379748;5,760944313
276,551;4,530675084;44,70290746;12,07457107
277,144;3,158363197;47,37300468;16,25889453
277,737;12,03371976;45,6701053;21,98103161
278,331;15,16383638;39,22617197;22,65008292
278,924;11,91371999;34,01171775;22,54828183
279,517;6,147309461;12,3907616;18,44192595
280,111;4,243488736;11,627908;19,28592532
280,704;8,029197576;6,034766132;21,53284793
281,297;7,316303995;-16,48648512;16,39861156
281,890;29,4060384;-22,99849985;20,93476111
282,483;21,89160499;-19,77252927;10,09564391
283,077;16,48733287;-12,30223734;7,462684655
283,670;3,088455847;-13,00537196;1,109444655
284,263;7,277710414;-30,99999946;2,588307466
